Plot,TPA,BA,biomass,bm_pa,Dom_species,Common.name,Abundance,rel_abd,richness,Ttl_Trees,bm_tonpa
G4,128,139.5870581,27293.07148,109172.2859,Mixed,Mixed,8,25,9,32,109.1722859
M4,116,148.224667,31662.85619,126651.4247,Mixed,Mixed,8,27.6,11,29,126.6514247
Q4,136,104.1829625,16445.93233,65783.72933,Mixed,Mixed,11,32.4,8,34,65.78372933
C6,112,122.9403593,24450.34549,97801.38195,Mixed,Mixed,10,35.7,9,28,97.80138195
E4,120,166.7525594,33840.354,135361.416,CHO,Chestnut oak,23,76.7,7,30,135.361416
D7,108,45.92333448,7009.890492,28039.56197,Mixed,Mixed,8,29.6,8,27,28.03956197
J5,128,102.7841206,19071.5636,76286.25438,Mixed,Mixed,8,25,10,32,76.28625438
E6,144,166.5060386,32236.24016,128944.9607,CHO,Chestnut oak,22,61.1,6,36,128.9449607
F7,216,53.22078648,6393.69905,25574.7962,Mixed,Mixed,15,27.8,9,54,25.5747962
K5,112,121.922861,24186.69831,96746.79326,CHO,Chestnut oak,15,53.6,6,28,96.74679326
G6,112,97.6200552,19497.89904,77991.59617,Mixed,Mixed,14,50,6,28,77.99159617
G7,96,71.92037088,12891.43106,51565.72425,Mixed,Mixed,9,37.5,8,24,51.56572425
D4,116,138.5972662,27737.08487,110948.3395,CHO,Chestnut oak,17,58.6,6,29,110.9483395
D6,120,101.9114806,19594.56994,78378.27975,Mixed,Mixed,11,36.7,6,30,78.37827975
F4,112,115.6891572,21791.74999,87166.99997,CHO,Chestnut oak,19,67.9,4,28,87.16699997
J6,84,114.8296068,26285.88409,105143.5364,CHO,Chestnut oak,14,66.7,6,21,105.1435364
D5,100,135.336865,25649.31902,102597.2761,Mixed,Mixed,8,32,10,25,102.5972761
C4,152,139.3390102,26186.73982,104746.9593,CHO,Chestnut oak,28,73.7,4,38,104.7469593
I6,160,124.8510046,22988.10538,91952.42152,Mixed,Mixed,15,37.5,9,40,91.95242152
E7,184,70.28744328,10898.97004,43595.88015,Mixed,Mixed,18,39.1,10,46,43.59588015
D3,116,145.628563,28874.04867,115496.1947,Mixed,Mixed,8,27.6,7,29,115.4961947
H6,128,96.99000912,19338.27587,77353.10349,Mixed,Mixed,11,34.4,9,32,77.35310349
C5,140,134.4461809,25320.71795,101282.8718,Mixed,Mixed,13,37.1,10,35,101.2828718
E3,160,171.2145859,34944.06505,139776.2602,Mixed,Mixed,9,22.5,10,40,139.7762602
F6,168,114.7379796,21511.0393,86044.1572,Mixed,Mixed,15,35.7,7,42,86.0441572
B5,148,128.2645541,25201.33677,100805.3471,Mixed,Mixed,12,32.4,10,37,100.8053471
H5,140,158.9583571,31702.84303,126811.3721,Mixed,Mixed,7,20,10,35,126.8113721
I3,124,86.39986824,13732.80698,54931.22794,Mixed,Mixed,8,26.7,9,30,54.93122794
E5,132,134.6874026,24135.68315,96542.73261,Mixed,Mixed,16,48.5,9,33,96.54273261
F2,148,126.2238854,23883.37981,95533.51923,Mixed,Mixed,10,27,8,37,95.53351923
J4,88,89.90308152,15899.51027,63598.04108,Mixed,Mixed,6,27.3,10,22,63.59804108
I4,120,107.5840769,18578.89286,74315.57144,Mixed,Mixed,12,40,8,30,74.31557144
C1,108,141.0836357,24271.09267,97084.3707,Mixed,Mixed,11,40.7,8,27,97.0843707
A6,144,93.8655216,14631.49614,58525.98456,Mixed,Mixed,16,44.4,9,36,58.52598456
A5,96,98.9497404,19260.32583,77041.30331,Mixed,Mixed,10,41.7,8,24,77.04130331
F3,100,119.1932431,25268.52969,101074.1188,Mixed,Mixed,12,48,5,25,101.0741188
B4,96,51.85379592,8925.724735,35702.89894,Mixed,Mixed,10,41.7,8,24,35.70289894
F5,128,106.7493967,21168.73581,84674.94322,SUM,Sugar maple,25,78.1,4,32,84.67494322
E1,124,85.68932112,14606.92107,58427.68429,SUM,Sugar maple,17,54.8,8,31,58.42768429
K3,68,45.52759224,8251.096548,33004.38619,SUM,Sugar maple,9,52.9,7,17,33.00438619
G2,160,122.533709,21598.43877,86393.75506,SUM,Sugar maple,24,60,11,40,86.39375506
G3,116,158.1286946,33947.65432,135790.6173,Mixed,Mixed,11,37.9,5,29,135.7906173
C7,156,64.36112688,10098.49652,40393.98609,Mixed,Mixed,12,30.8,12,39,40.39398609
D1,152,169.6063104,34899.69281,139598.7712,Mixed,Mixed,18,47.4,10,38,139.5987712
F1,124,76.74170688,13089.88473,52359.53892,Mixed,Mixed,9,29,13,31,52.35953892
M3,112,69.23351232,12486.47696,49945.90782,Mixed,Mixed,7,25,12,28,49.94590782
H3,100,111.7563869,22141.67175,88566.68701,Mixed,Mixed,8,32,10,25,88.56668701
H4,136,155.0074795,31944.21673,127776.8669,Mixed,Mixed,13,38.2,7,34,127.7768669
I2,132,62.40619512,9447.079974,37788.3199,Mixed,Mixed,9,27.3,9,33,37.7883199
P5,124,102.4075764,20495.2781,81981.11241,SUM,Sugar maple,21,67.7,6,31,81.98111241
H7,72,44.61961032,8602.397107,34409.58843,Mixed,Mixed,5,27.8,7,18,34.40958843
I5,88,91.51419312,18472.8327,73891.3308,Mixed,Mixed,8,36.4,6,22,73.8913308
Q5,100,96.42039336,18468.04282,73872.17129,Mixed,Mixed,7,28,10,25,73.87217129
Q6,92,104.6133922,21205.39873,84821.5949,SUM,Sugar maple,13,56.5,8,23,84.8215949
G5,140,151.4704514,31539.03465,126156.1386,Mixed,Mixed,16,45.7,7,35,126.1561386
O4,88,109.3409194,21361.57775,85446.31101,SUM,Sugar maple,12,54.5,8,22,85.44631101
R6,112,78.0489216,15581.1985,62324.79401,SUM,Sugar maple,16,57.1,7,28,62.32479401
H2,116,107.723263,20506.24198,82024.96791,SUM,Sugar maple,21,72.4,5,29,82.02496791
J3,136,100.3725799,20262.80604,81051.22415,Mixed,Mixed,17,50,10,34,81.05122415
K4,112,127.8559404,24119.28326,96477.13304,Mixed,Mixed,6,21.4,10,28,96.47713304
L5,84,106.4055766,21313.83897,85255.35588,Mixed,Mixed,10,47.6,6,21,85.25535588
P4,84,65.40742224,11946.81989,47787.27954,SUM,Sugar maple,13,61.9,7,21,47.78727954
J2,136,88.58081376,13379.34683,53517.38733,Mixed,Mixed,9,26.5,7,34,53.51738733
L4,144,132.4488629,26311.60034,105246.4014,Mixed,Mixed,11,31.4,11,35,105.2464014
P6,120,133.4275286,24251.79587,97007.18348,Mixed,Mixed,10,33.3,7,30,97.00718348
R5,164,139.9686199,26307.48547,105229.9419,SUM,Sugar maple,28,68.3,9,41,105.2299419
N4,104,96.45464448,20039.80735,80159.2294,SUM,Sugar maple,17,65.4,7,26,80.1592294
Q7,140,138.5839584,26467.46388,105869.8555,Mixed,Mixed,17,48.6,9,35,105.8698555
S5,160,156.4436268,29397.28143,117589.1257,Mixed,Mixed,16,40,11,40,117.5891257
O5,76,75.62865456,14183.53524,56734.14096,Mixed,Mixed,9,47.4,6,19,56.73414096
L3,164,137.0537842,23821.74742,95286.98969,Mixed,Mixed,9,22,10,41,95.28698969
B6,216,129.4393457,17058.80149,68235.20598,VIP,Virginia Pine,36,66.7,7,54,68.23520598
K6,116,159.8781197,33866.14743,135464.5897,Mixed,Mixed,9,31,9,29,135.4645897
